Age,Sex,Wing,Weight,Year
F,M,135,130,2007
F,M,136,127,2007
F,M,135,118,2008
F,M,135,110,2008
A,F,131,126,2007
F,M,129,135,2007
F,M,129,100,2008
F,M,127,102,2008
F,M,127,91,2008
A,M,128,120,2008
A,F,129,130,2007
F,M,133,147,2007
F,M,134,131,2007
F,M,131,130,2007
F,F,128,129,2007
F,M,127,138,2007
F,M,126,122,2008
F,M,125,124,2008
A,F,129,152,2007
F,M,130,132,2007
A,M,135,132,2007
A,F,138,143,2007
A,F,137,136,2008
F,F,129,107,2007
F,F,127,114,2008
F,F,128,110,2008
F,F,121,107,2008
U,F,131,124,2010
A,F,131,110,2010
A,F,130,104,2010
A,F,129,123,2011
A,F,125,119,2007
U,F,122,92,2008
U,F,,96,2008
A,M,127,136,2007
A,M,133,123,2007
F,M,130,115,2007
F,M,126,113,2008
A,F,130,124,2008
F,M,130,118,2008
U,F,128,118,2008
A,F,130,110,2009
A,F,130,103,2009
F,M,128,105,2008
A,M,133,115,2008
F,F,130,125,2008
F,F,129,126,2008
F,F,130,125,2008
F,F,126,123,2008
A,F,127,114,2008
F,M,130,131,2008
F,M,130,124,2008
F,M,132,141,2008
F,M,,140,2008
F,M,128,132,2008
F,F,129,113,2008
F,F,128,115,2008
F,F,128,108,2008
F,F,129,104,2008
F,F,128,103,2008
F,M,127,116,2008
F,F,128,120,2008
F,F,127,111,2008
F,F,131,117,2008
F,F,131,113,2008
F,F,130,103,2008
F,F,130,102,2008
A,F,126,95,2008
F,M,131,104,2008
F,M,131,107,2008
F,M,130,98,2008
F,M,129,101,2008
F,M,126,103,2008
F,M,131,111,2008
F,M,130,110,2008
A,M,139,110,2008
A,F,130,111,2008
F,M,131,114,2008
A,F,127,125,2008
A,F,126,116,2008
F,M,131,112,2008
A,M,136,91,2012
F,F,130,111,2008
A,M,135,113,2008
A,M,135,111,2008
F,M,130,112,2008
F,M,131,110,2008
F,M,131,113,2008
F,M,,111,2008
F,M,132,114,2008
F,M,132,123,2008
A,F,131,114,2008
A,M,135,118,2008
A,M,136,116,2008
A,M,134,117,2009
A,M,133,117,2008
A,M,130,120,2009
A,M,132,134,2010
A,M,132,107,2010
A,M,133,101,2008
A,F,130,111,2008
F,M,126,102,2008
F,M,125,104,2008
F,F,122,116,2008
F,F,122,105,2008
F,F,123,104,2008
F,F,122,102,2008
A,F,127,101,2008
U,F,126,106,2008
F,F,125,102,2008
A,F,131,106,2009
A,F,129,98,2009
A,F,128,98,2009
A,F,128,98,2009
A,F,131,105,2010
A,F,131,104,2010
A,F,130,104,2010
A,F,130,122,2011
A,F,131,106,2011
A,F,130,108,2011
A,F,130,102,2011
F,F,128,99,2008
F,M,129,101,2008
F,M,130,99,2008
F,M,130,92,2008
F,M,130,99,2008
A,M,136,132,2008
A,M,135,131,2008
A,M,136,128,2008
A,M,133,96,2008
A,M,138,104,2008
F,M,125,99,2008
F,M,124,101,2008
F,M,125,97,2008
F,M,124,91,2008
F,M,125,91,2008
F,M,125,84,2008
F,M,128,112,2008
F,M,128,108,2008
F,M,128,98,2008
F,M,128,107,2008
F,M,125,96,2008
A,M,132,104,2008
A,M,132,143,2009
A,M,132,101,2009
A,M,132,131,2009
A,M,132,100,2010
A,M,130,104,2010
A,M,132,105,2010
A,M,133,103,2011
A,M,133,105,2011
A,M,131,100,2011
F,F,122,117,2008
F,M,130,104,2008
A,M,135,124,2008
A,M,136,131,2008
A,M,,132,2008
A,M,135,133,2008
A,M,136,126,2009
A,M,135,133,2009
A,M,136,114,2010
F,F,120,103,2008
F,F,120,95,2008
F,M,130,108,2008
F,F,130,113,2008
A,M,132,95,2008
F,M,135,114,2008
F,M,135,113,2008
F,U,134,117,2008
F,M,130,105,2008
F,M,128,95,2008
F,M,128,89,2008
F,F,123,98,2008
A,F,128,93,2009
F,F,122,94,2008
F,F,124,98,2008
F,F,124,95,2008
A,F,132,113,2008
A,F,131,112,2008
F,M,130,101,2008
F,M,125,97,2008
F,M,124,96,2008
A,M,130,94,2008
A,M,130,86,2008
A,M,137,125,2008
J,M,,87,2008
J,M,,84,2008
F,M,134,98,2008
A,M,142,128,2009
F,F,123,97,2008
F,M,129,95,2008
A,M,134,98,2009
A,M,132,98,2010
A,M,135,131,2012
A,F,125,101,2008
A,F,126,97,2008
U,F,127,112,2009
A,F,127,114,2009
F,M,124,95,2008
A,M,131,89,2008
U,M,129,98,2008
A,M,132,89,2009
A,M,132,90,2009
A,M,132,90,2010
A,M,,92,2010
J,M,,93,2008
A,F,128,92,2008
A,M,130,92,2008
A,M,133,117,2009
F,M,,95,2008
F,F,125,95,2008
A,F,128,105,2009
J,U,125,89,2008
J,U,125,89,2008
F,F,124,82,2008
F,F,,88,2008
A,F,129,89,2009
A,F,127,90,2013
A,F,125,94,2008
J,U,126,92,2008
J,M,,79,2008
J,U,,79,2008
F,F,123,102,2008
A,F,125,107,2009
A,F,126,104,2010
A,F,126,114,2011
F,F,122,92,2008
F,F,122,90,2008
A,F,127,90,2009
A,F,126,94,2010
A,F,125,85,2010
F,M,126,97,2009
A,F,131,98,2008
J,M,127,96,2008
J,M,127,94,2008
J,U,130,98,2008
J,U,125,87,2008
J,U,125,87,2008
